GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "06000","California",8,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",19341458,19358164,19478671,19784145,20126877,20505187,20888396,20654292,19837628,19642444,19986021,20666908,21319995,21998371,22688560,23169071,23584800
 "06000","California",8,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",15711829,15641543,15591389,15682676,15870028,16116466,16241789,16052090,15151262,14946231,15091751,15713601,16212158,16693308,17184799,17601469,17908517
 "06000","California",8,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",3629629,3716621,3887282,4101469,4256849,4388721,4646607,4602202,4686366,4696213,4894270,4953307,5107837,5305063,5503761,5567602,5676283
 "06000","California",8,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",81105,76768,69670,66790,65734,63912,67493,66821,65844,65373,64615,63286,64457,64081,65251,64615,64937
 "06000","California",8,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",3548524,3639853,3817612,4034679,4191115,4324809,4579114,4535381,4620522,4630840,4829655,4890021,5043380,5240982,5438510,5502987,5611346
 "06000","California",8,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",289915,317428,310619,277366,244370,222890,235386,222843,227118,232546,228094,222074,230131,244302,244691,241268,237065
 "06000","California",8,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",19051543,19040736,19168052,19506779,19882507,20282297,20653010,20431449,19610510,19409898,19757927,20444834,21089864,21754069,22443869,22927803,23347735
 "06000","California",8,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",16437387,16351697,16489519,16855025,17232240,17610151,17937222,17674155,16880961,16731726,17141365,17853207,18488874,19115500,19750382,20178220,20566834
 "06000","California",8,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",189802,190942,191150,190783,200827,202047,210160,214856,200201,212034,215325,223859,233738,239287,241834,248913,249997
 "06000","California",8,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",38072,33442,35915,34381,36328,40641,46012,54952,52328,60321,54715,68875,69887,64371,63461,60353,60099
 "06000","California",8,CAEMP25N,300,"22","   Utilities","Number of jobs",56349,56329,56949,57734,57637,58132,60277,61690,62159,59325,60102,61538,61227,60187,60925,64341,67673
 "06000","California",8,CAEMP25N,400,"23","   Construction","Number of jobs",1063103,1052033,1087203,1167793,1248701,1283262,1241903,1120896,942684,865760,867250,909050,964472,1002759,1059040,1114649,1158298
 "06000","California",8,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",1867740,1720515,1615130,1601392,1582808,1576203,1546941,1503156,1375996,1322661,1335428,1345926,1357740,1373909,1399064,1413840,1430171
 "06000","California",8,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",727551,720933,721060,735224,761232,788178,803205,789561,730479,724350,745809,760592,784344,842992,855336,805465,805009
 "06000","California",8,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",1953970,1968931,1995437,2022383,2069899,2094691,2109945,2037623,1911535,1880146,1922312,1952868,1999529,2038735,2076207,2078293,2089996
 "06000","California",8,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",575285,560865,554065,564656,582212,593754,617471,607133,577340,567979,583608,610295,642510,699446,830956,942019,995167
 "06000","California",8,CAEMP25N,900,"51","   Information","Number of jobs",629281,565172,548560,562379,558536,554068,558575,548042,515827,508681,516531,518351,534083,553447,576326,613929,620677
 "06000","California",8,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",852685,866107,891195,905647,932921,942113,967968,971688,1005567,953789,1012925,1010957,1012928,992914,1019678,1068107,1099286
 "06000","California",8,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",761404,784175,849099,927673,1022517,1059699,1074279,1035917,1011505,1033832,1059937,1047839,1069209,1104683,1132070,1153175,1184055
 "06000","California",8,CAEMP25N,1200,"54","   Professional, scientific, and technical services","Number of jobs",1530823,1501893,1515922,1562031,1590242,1654533,1753958,1778823,1697347,1703399,1740977,1797930,1853242,1903492,1967774,1972733,1995511
 "06000","California",8,CAEMP25N,1300,"55","   Management of companies and enterprises","Number of jobs",296502,282511,264399,242253,232354,222948,217030,221825,213366,207092,213242,218158,233761,239272,245584,259818,265925
 "06000","California",8,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services","Number of jobs",1232385,1235718,1251560,1279978,1285112,1337057,1352290,1302720,1221705,1248607,1275037,1338379,1404105,1461767,1465347,1497471,1507593
 "06000","California",8,CAEMP25N,1500,"61","   Educational services","Number of jobs",322201,346573,358259,367152,380037,395440,399191,413490,429908,439530,445718,465322,485844,510847,523210,525868,533991
 "06000","California",8,CAEMP25N,1600,"62","   Health care and social assistance","Number of jobs",1512062,1567445,1617216,1636386,1643016,1685538,1764099,1803572,1831158,1868906,1899937,2216400,2354100,2416669,2506435,2575857,2652241
 "06000","California",8,CAEMP25N,1700,"71","   Arts, entertainment, and recreation","Number of jobs",458153,472666,477478,487625,494137,507537,530849,539942,528123,538934,551865,572200,586684,618390,627438,639567,653153
 "06000","California",8,CAEMP25N,1800,"72","   Accommodation and food services","Number of jobs",1247477,1256823,1281745,1312586,1345223,1388191,1422211,1430811,1370051,1369983,1409007,1454926,1528900,1613443,1676039,1738427,1784797
 "06000","California",8,CAEMP25N,1900,"81","   Other services (except government and government enterprises)","Number of jobs",1122542,1168624,1177177,1196969,1208501,1226119,1260858,1237458,1203682,1166397,1231640,1279742,1312571,1378890,1423658,1405395,1413195
 "06000","California",8,CAEMP25N,2000,"...","  Government and government enterprises","Number of jobs",2614156,2689039,2678533,2651754,2650267,2672146,2715788,2757294,2729549,2678172,2616562,2591627,2600990,2638569,2693487,2749583,2780901
 "06000","California",8,CAEMP25N,2001,"...","   Federal civilian","Number of jobs",246317,254162,256271,251158,250521,247543,246324,248403,253470,269052,255623,251499,246714,243254,245099,248286,248950
 "06000","California",8,CAEMP25N,2002,"...","   Military","Number of jobs",225231,230271,235850,233115,223452,221359,217925,223457,224561,223833,218883,216386,213744,207533,204094,205976,206431
 "06000","California",8,CAEMP25N,2010,"...","   State and local","Number of jobs",2142608,2204606,2186412,2167481,2176294,2203244,2251539,2285434,2251518,2185287,2142056,2123742,2140532,2187782,2244294,2295321,2325520
 "06000","California",8,CAEMP25N,2011,"...","    State government","Number of jobs",466533,478292,478779,471732,466231,476421,491422,500861,502235,496155,494190,491145,494746,510633,521379,530244,535057
 "06000","California",8,CAEMP25N,2012,"...","    Local government","Number of jobs",1676075,1726314,1707633,1695749,1710063,1726823,1760117,1784573,1749283,1689132,1647866,1632597,1645786,1677149,1722915,1765077,1790463
 "06001","Alameda, CA",8,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",887315,875474,878177,880210,885435,896623,910324,903624,864535,853954,865987,902625,933194,969935,1014191,1041484,1066435
 "06001","Alameda, CA",8,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",740610,725714,719693,712328,713182,718931,721344,716163,673240,661573,666928,701982,725769,751534,784130,806456,826948
 "06001","Alameda, CA",8,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",146705,149760,158484,167882,172253,177692,188980,187461,191295,192381,199059,200643,207425,218401,230061,235028,239487
 "06001","Alameda, CA",8,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",458,423,397,393,399,399,435,418,401,387,371,350,356,353,357,353,355
 "06001","Alameda, CA",8,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",146247,149337,158087,167489,171854,177293,188545,187043,190894,191994,198688,200293,207069,218048,229704,234675,239132
 "06001","Alameda, CA",8,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",1012,1145,1008,934,970,936,986,877,855,919,879,778,784,793,630,648,682
 "06001","Alameda, CA",8,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",886303,874329,877169,879276,884465,895687,909338,902747,863680,853035,865108,901847,932410,969142,1013561,1040836,1065753
 "06001","Alameda, CA",8,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",767975,750879,755752,757528,764899,776205,790944,789488,751649,742411,756482,792486,820085,853479,894753,919898,944603
 "06001","Alameda, CA",8,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",716,646,527,511,486,474,557,600,523,490,456,462,499,525,467,562,556
 "06001","Alameda, CA",8,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",800,784,736,628,608,655,790,978,1007,1245,1061,1355,1309,1162,1153,1224,1320
 "06001","Alameda, CA",8,CAEMP25N,300,"22","   Utilities","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1498,1610,1419,1448,1542,1641
 "06001","Alameda, CA",8,CAEMP25N,400,"23","   Construction","Number of jobs",51497,48984,51164,53477,56333,56208,56317,52710,45150,41912,42135,45474,48054,49794,52903,55952,58880
 "06001","Alameda, CA",8,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",93998,84449,80262,81210,79433,79217,77611,77528,69520,64624,66635,67522,67262,71238,76744,80033,85334
 "06001","Alameda, CA",8,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",50971,47633,46726,46079,45980,45919,46033,45358,42387,40795,40934,41958,42960,45014,46351,44570,44799
 "06001","Alameda, CA",8,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",85151,84602,84568,83297,83889,84008,85177,82043,76028,74550,75600,76902,80667,82729,85205,85879,86879
 "06001","Alameda, CA",8,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),32627,33827,38462,47837,52034,54018
 "06001","Alameda, CA",8,CAEMP25N,900,"51","   Information","Number of jobs",24240,22156,21889,20990,21289,20671,20452,20244,19361,18566,18169,18121,17368,17499,18618,22747,23259
 "06001","Alameda, CA",8,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",31202,32338,34829,34796,35778,36034,36180,35128,36460,29574,31547,31377,31707,38205,38294,40779,42213
 "06001","Alameda, CA",8,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",28406,29438,32261,35197,38859,39845,39382,36997,35574,36606,37156,36620,37220,38516,39077,39644,40635
 "06001","Alameda, CA",8,CAEMP25N,1200,"54","   Professional, scientific, and technical services","Number of jobs",81624,81103,80243,85273,85646,87521,94662,101639,97621,97862,99608,104594,105254,109588,116676,117612,119151
 "06001","Alameda, CA",8,CAEMP25N,1300,"55","   Management of companies and enterprises","Number of jobs",20432,18552,18889,16866,16453,15710,15516,15857,16863,16190,20750,22066,21963,16046,16090,15437,15236
 "06001","Alameda, CA",8,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services","Number of jobs",54699,51232,51103,51974,50844,53455,54476,52125,46316,48637,48794,50480,54230,57070,59855,61566,62662
